SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
266,	48.82967,	2.71167,	2018-10-09T19:04:07.194Z
267,	48.83167,	2.67809,	2018-10-09T19:05:26.194Z
268,	48.8319,	2.6481,	2018-10-09T19:06:36.194Z
269,	48.83333,	2.59389,	2018-10-09T19:08:45.194Z
270,	48.83505,	2.57803,	2018-10-09T19:09:23.194Z
271,	48.83019,	2.48787,	2018-10-09T19:13:40.194Z
272,	48.7737,	2.40197,	2018-10-09T19:21:46.194Z
273,	48.7375,	2.31631,	2018-10-09T19:29:02.194Z
274,	48.69707,	2.23876,	2018-10-09T19:35:12.194Z
275,	48.69288,	2.22734,	2018-10-09T19:35:42.194Z
276,	48.67551,	2.20047,	2018-10-09T19:37:11.194Z
277,	48.65805,	2.18258,	2018-10-09T19:38:26.194Z
278,	48.64799,	2.16644,	2018-10-09T19:39:18.194Z
279,	48.63855,	2.15122,	2018-10-09T19:40:07.194Z
280,	48.62257,	2.13465,	2018-10-09T19:41:16.194Z
281,	48.6107,	2.10568,	2018-10-09T19:42:37.194Z
282,	48.60727,	2.09067,	2018-10-09T19:43:15.194Z
283,	48.60226,	2.06874,	2018-10-09T19:44:09.194Z
284,	48.59958,	2.05938,	2018-10-09T19:44:33.194Z
285,	48.59103,	2.03932,	2018-10-09T19:45:29.194Z
286,	48.5845,	2.021,	2018-10-09T19:46:18.194Z
287,	48.57212,	1.99644,	2018-10-09T19:47:31.194Z
288,	48.56761,	1.98447,	2018-10-09T19:48:03.194Z
289,	48.56307,	1.96246,	2018-10-09T19:48:57.194Z
290,	48.56053,	1.94941,	2018-10-09T19:49:29.194Z
291,	48.53812,	1.90422,	2018-10-09T19:52:00.194Z
292,	48.52345,	1.90784,	2018-10-09T19:52:53.194Z
293,	48.5103,	1.90721,	2018-10-09T19:53:40.194Z
294,	48.49241,	1.91075,	2018-10-09T19:54:44.194Z
295,	48.48724,	1.91233,	2018-10-09T19:55:03.194Z
296,	48.46614,	1.91267,	2018-10-09T19:56:17.194Z
297,	48.45876,	1.91218,	2018-10-09T19:56:44.194Z
298,	48.45286,	1.91137,	2018-10-09T19:57:05.194Z
299,	48.44554,	1.90938,	2018-10-09T19:57:31.194Z
300,	48.42198,	1.89999,	2018-10-09T19:58:57.194Z
301,	48.40736,	1.89521,	2018-10-09T19:59:50.194Z
302,	48.39186,	1.89141,	2018-10-09T20:00:46.194Z
303,	48.37873,	1.88802,	2018-10-09T20:01:33.194Z
304,	48.37324,	1.88577,	2018-10-09T20:01:53.194Z
305,	48.33872,	1.86747,	2018-10-09T20:04:03.194Z
306,	48.32236,	1.86339,	2018-10-09T20:05:02.194Z
307,	48.30991,	1.86219,	2018-10-09T20:05:46.194Z
308,	48.29918,	1.86129,	2018-10-09T20:06:24.194Z
309,	48.28075,	1.8586,	2018-10-09T20:07:30.194Z
310,	48.25268,	1.85139,	2018-10-09T20:09:11.194Z
311,	48.22257,	1.84693,	2018-10-09T20:10:59.194Z
312,	48.20608,	1.84867,	2018-10-09T20:11:58.194Z
313,	48.17805,	1.85415,	2018-10-09T20:13:38.194Z
314,	48.16875,	1.85359,	2018-10-09T20:14:11.194Z
315,	48.14787,	1.85564,	2018-10-09T20:15:25.194Z
316,	48.13417,	1.85415,	2018-10-09T20:16:14.194Z
317,	48.12494,	1.85192,	2018-10-09T20:16:47.194Z
318,	48.11296,	1.85069,	2018-10-09T20:17:29.194Z
319,	48.0879,	1.85188,	2018-10-09T20:18:58.194Z
320,	48.06327,	1.84582,	2018-10-09T20:20:27.194Z
321,	48.05114,	1.84188,	2018-10-09T20:21:11.194Z
322,	48.03592,	1.84004,	2018-10-09T20:22:05.194Z
323,	48.0206,	1.84209,	2018-10-09T20:23:00.194Z
324,	48.01117,	1.84536,	2018-10-09T20:23:34.194Z
325,	47.99907,	1.85183,	2018-10-09T20:24:19.194Z
326,	47.98886,	1.85718,	2018-10-09T20:24:58.194Z
327,	47.97511,	1.85885,	2018-10-09T20:25:47.194Z
328,	47.9575,	1.85162,	2018-10-09T20:26:52.194Z
329,	47.92987,	1.84934,	2018-10-09T20:28:31.194Z
330,	47.92289,	1.84881,	2018-10-09T20:28:56.194Z
331,	47.90539,	1.84871,	2018-10-09T20:29:58.194Z
332,	47.89831,	1.79529,	2018-10-09T20:32:15.194Z
333,	47.89473,	1.77347,	2018-10-09T20:33:08.194Z
334,	47.88334,	1.74443,	2018-10-09T20:34:29.194Z
335,	47.87747,	1.73544,	2018-10-09T20:34:59.194Z
336,	47.87313,	1.72922,	2018-10-09T20:35:20.194Z
337,	47.86883,	1.72304,	2018-10-09T20:35:41.194Z
338,	47.86255,	1.71274,	2018-10-09T20:36:14.194Z
339,	47.85832,	1.70419,	2018-10-09T20:36:40.194Z
340,	47.8425,	1.67663,	2018-10-09T20:38:07.194Z
341,	47.83594,	1.66843,	2018-10-09T20:38:37.194Z
342,	47.82492,	1.65092,	2018-10-09T20:39:34.194Z
343,	47.80847,	1.62297,	2018-10-09T20:41:03.194Z
344,	47.80298,	1.61691,	2018-10-09T20:41:27.194Z
345,	47.7932,	1.60658,	2018-10-09T20:42:10.194Z
346,	47.78633,	1.59916,	2018-10-09T20:42:40.194Z
347,	47.76994,	1.57264,	2018-10-09T20:44:06.194Z
348,	47.76281,	1.55942,	2018-10-09T20:44:47.194Z
349,	47.75218,	1.54454,	2018-10-09T20:45:39.194Z
350,	47.74082,	1.52768,	2018-10-09T20:46:36.194Z
351,	47.73658,	1.51895,	2018-10-09T20:47:01.194Z
352,	47.73243,	1.50954,	2018-10-09T20:47:28.194Z
353,	47.71842,	1.4849,	2018-10-09T20:48:45.194Z
354,	47.71289,	1.47076,	2018-10-09T20:49:24.194Z
355,	47.70827,	1.45856,	2018-10-09T20:49:58.194Z
356,	47.69575,	1.4391,	2018-10-09T20:51:02.194Z
357,	47.6851,	1.41859,	2018-10-09T20:52:04.194Z
358,	47.67622,	1.40097,	2018-10-09T20:52:57.194Z
359,	47.67029,	1.39313,	2018-10-09T20:53:25.194Z
360,	47.6615,	1.38466,	2018-10-09T20:54:02.194Z
361,	47.6558,	1.37924,	2018-10-09T20:54:26.194Z
362,	47.65207,	1.37489,	2018-10-09T20:54:43.194Z
363,	47.62695,	1.34957,	2018-10-09T20:56:31.194Z
364,	47.61998,	1.33578,	2018-10-09T20:57:13.194Z
365,	47.61785,	1.32553,	2018-10-09T20:57:39.194Z
366,	47.61606,	1.30192,	2018-10-09T20:58:36.194Z
367,	47.61796,	1.26671,	2018-10-09T21:00:00.194Z
368,	47.61849,	1.25943,	2018-10-09T21:00:18.194Z
369,	47.61791,	1.21916,	2018-10-09T21:01:55.194Z
370,	47.61656,	1.1935,	2018-10-09T21:02:57.194Z
371,	47.61703,	1.18505,	2018-10-09T21:03:17.194Z
372,	47.61595,	1.1637,	2018-10-09T21:04:09.194Z
373,	47.61361,	1.14918,	2018-10-09T21:04:45.194Z
374,	47.61173,	1.14061,	2018-10-09T21:05:06.194Z
375,	47.60853,	1.12877,	2018-10-09T21:05:37.194Z
376,	47.59335,	1.09272,	2018-10-09T21:07:19.194Z
377,	47.58955,	1.08572,	2018-10-09T21:07:40.194Z
378,	47.58514,	1.07633,	2018-10-09T21:08:08.194Z
379,	47.57669,	1.05984,	2018-10-09T21:08:57.194Z
380,	47.56995,	1.04903,	2018-10-09T21:09:33.194Z
381,	47.56242,	1.03389,	2018-10-09T21:10:18.194Z
382,	47.55737,	1.02011,	2018-10-09T21:10:55.194Z
383,	47.55169,	1.00275,	2018-10-09T21:11:41.194Z
384,	47.54711,	0.98881,	2018-10-09T21:12:19.194Z
385,	47.54103,	0.97344,	2018-10-09T21:13:01.194Z
386,	47.53697,	0.96483,	2018-10-09T21:13:27.194Z
387,	47.53054,	0.95117,	2018-10-09T21:14:06.194Z
388,	47.52549,	0.93818,	2018-10-09T21:14:42.194Z
389,	47.52226,	0.92641,	2018-10-09T21:15:13.194Z
390,	47.51853,	0.91587,	2018-10-09T21:15:41.194Z
391,	47.50672,	0.87904,	2018-10-09T21:17:20.194Z
392,	47.50523,	0.87157,	2018-10-09T21:17:39.194Z
393,	47.50312,	0.8632,	2018-10-09T21:18:00.194Z
394,	47.49665,	0.8433,	2018-10-09T21:18:53.194Z
395,	47.49298,	0.82975,	2018-10-09T21:19:28.194Z
396,	47.47904,	0.78493,	2018-10-09T21:21:44.194Z
397,	47.45181,	0.74831,	2018-10-09T21:23:55.194Z
398,	47.43765,	0.73697,	2018-10-09T21:24:55.194Z
399,	47.42892,	0.73452,	2018-10-09T21:25:26.194Z
400,	47.42036,	0.73154,	2018-10-09T21:25:57.194Z
401,	47.38135,	0.71193,	2018-10-09T21:29:34.194Z
402,	47.37706,	0.71429,	2018-10-09T21:29:57.194Z
403,	47.35626,	0.70832,	2018-10-09T21:31:44.194Z
404,	47.34386,	0.70006,	2018-10-09T21:32:51.194Z
405,	47.32737,	0.69221,	2018-10-09T21:34:17.194Z
406,	47.31452,	0.68897,	2018-10-09T21:35:12.194Z
407,	47.28933,	0.68413,	2018-10-09T21:36:47.194Z
408,	47.26818,	0.67088,	2018-10-09T21:38:09.194Z
409,	47.26008,	0.66666,	2018-10-09T21:38:39.194Z
410,	47.23905,	0.66028,	2018-10-09T21:39:56.194Z
411,	47.2337,	0.65894,	2018-10-09T21:40:15.194Z
412,	47.20082,	0.65141,	2018-10-09T21:42:28.194Z
413,	47.19376,	0.64834,	2018-10-09T21:42:55.194Z
414,	47.18299,	0.64349,	2018-10-09T21:43:34.194Z
415,	47.1697,	0.63378,	2018-10-09T21:44:27.194Z
416,	47.16469,	0.62958,	2018-10-09T21:44:48.194Z
417,	47.13663,	0.61792,	2018-10-09T21:46:31.194Z
418,	47.12201,	0.60431,	2018-10-09T21:47:33.194Z
419,	47.11096,	0.5934,	2018-10-09T21:48:21.194Z
420,	47.08349,	0.58595,	2018-10-09T21:50:01.194Z
421,	47.07131,	0.58716,	2018-10-09T21:50:44.194Z
422,	47.06418,	0.58858,	2018-10-09T21:51:09.194Z
423,	47.03566,	0.57426,	2018-10-09T21:53:00.194Z
424,	47.02989,	0.56967,	2018-10-09T21:53:23.194Z
425,	47.02283,	0.56543,	2018-10-09T21:53:51.194Z
426,	47.01177,	0.55897,	2018-10-09T21:54:33.194Z
427,	47.00381,	0.55432,	2018-10-09T21:55:03.194Z
428,	46.97822,	0.54659,	2018-10-09T21:56:36.194Z
429,	46.95969,	0.54895,	2018-10-09T21:57:42.194Z
430,	46.94791,	0.54795,	2018-10-09T21:58:24.194Z
431,	46.92874,	0.54,	2018-10-09T21:59:35.194Z
432,	46.91509,	0.52893,	2018-10-09T22:00:30.194Z
